Id;Name;File_Name;AnimCount;LT_size;RT_size;prpNaNoze;prpNaVode;prpLT;prpRT;prpPruchozi;prpStrom;prpBudova;FireAddDohled;Budova_DoorLT;Budova_DoorRT;AddAnim_Id;AddAnim_X;AddAnim_Y;KreslitTyp;KreslitLvl;SizeProc;IdModel;Vysky
--;----;---------;---------;-------;-------;---------;---------;-----;-----;-----------;--------;---------;-------------;-------------;-------------;----------;---------;---------;----------;----------;--------;-------;-----
1;Hrob01;IMAGE\OBJECT\VESNICKE\HROB01_X*.PNG;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;100;0;0x14141414
2;Hrob02;IMAGE\OBJECT\VESNICKE\HROB02_X*.PNG;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;100;0;0x14141414
3;Kanal00;IMAGE\OBJECT\VESNICKE\KANAL00_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
4;Kanal01;IMAGE\OBJECT\VESNICKE\KANAL01_X*.PNG;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;100;0;0x
5;Kasna;IMAGE\OBJECT\VESNICKE\KASNA_X*.PNG;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;100;0;0xFFFFFFFFFFFFFFFFFF
11;Zed-vez;IMAGE\OBJECT\BUDOVY\ZZ_DALSI\ZED-VEZ_X*.PNG;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;2;2;100;0;0x14141414
12;Jehl-03;IMAGE\OBJECT\FLORA\JEHLICNATE_STROMY\JEHL-03_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
13;Jehl-04;IMAGE\OBJECT\FLORA\JEHLICNATE_STROMY\JEHL-04_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
14;Jehl-05;IMAGE\OBJECT\FLORA\JEHLICNATE_STROMY\JEHL-05_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
15;Jehl-07;IMAGE\OBJECT\FLORA\JEHLICNATE_STROMY\JEHL-07_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
16;Jehl-08;IMAGE\OBJECT\FLORA\JEHLICNATE_STROMY\JEHL-08_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
17;Ker-01;IMAGE\OBJECT\FLORA\KERE\KER-01_X*.PNG;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;2;2;100;0;0x14
